Year,Zone,WMA,Acreage,AntlerCriteria,Total Harvest,Buck,Doe,ManDays,Acres/Deer,Acres/Buck,Acres/Doe
2020,East Central,Yockanookany,2379,12/15,7,3,4,111,1189.5,793,594.75
2020,North East,Canal Section,29672,12/15,27,16,11,2353,4238.857143,1854.5,2697.454545
2020,North East,Chickasaw,26815,10/13,36,29,7,1928,993.1481481,924.6551724,3830.714286
2020,North East,Divide Section,15337,12/15,21,7,14,929,426.0277778,2191,1095.5
2020,North East,Hell Creek,2344,12/15,26,3,23,194,111.6190476,781.3333333,101.9130435
2020,North East,John Bell Williams,3198,12/15,3,1,2,290,123,3198,1599
2020,North East,Tuscumbia,2693,10/13,4,2,2,152,897.6666667,1346.5,1346.5
2020,North West,Calhoun County,7545,10/13,15,3,12,404,1886.25,2515,628.75
2020,North West,Charles Ray Nix,3812,15/18,54,22,32,634,254.1333333,173.2727273,119.125
2020,North West,Cossar State Park,604,10/13,4,1,3,13,11.18518519,604,201.3333333
2020,North West,Malmaison,9953,15/18,53,26,27,1349,2488.25,382.8076923,368.6296296
2020,North West,Sardis Waterfowl,2480,0,23,11,12,56,46.79245283,225.4545455,206.6666667
2020,North West,Upper Sardis,50485,10/13,54,35,19,2521,2195,1442.428571,2657.105263
2020,South East,Chickasawhay,30000,10/13,28,18,10,1227,555.5555556,1666.666667,3000
2020,South East,Leaf River,41411,12/15,176,94,82,3324,1478.964286,440.5425532,505.0121951
2020,South East,Little Biloxi,14540,10/13,51,31,20,2239,82.61363636,469.0322581,727
2020,South East,Mason Creek,28000,10/13,3,3,0,368,549.0196078,9333.333333,0
2020,South East,Old River,13000,10/13,16,9,7,747,4333.333333,1444.444444,1857.142857
2020,South East,Pascagoula River,37415,10/13,26,19,7,1740,2338.4375,1969.210526,5345
2020,South East,Red Creek,22954,10/13,5,2,3,620,882.8461538,11477,7651.333333
2020,South East,Theodore A. Mars Jr.,900,0,0,0,0,23,180,0,0
2020,South East,Ward Bayou,13234,10/13,5,3,2,547,0,4411.333333,6617
2020,South East,Wolf River,10881,10/13,34,19,15,1243,2176.2,572.6842105,725.4
2020,South West,Bienville,26136,12/15,32,23,9,1481,768.7058824,1136.347826,2904
2020,South West,Canemount,3500,16/20,25,16,9,384,109.375,218.75,388.8888889
2020,South West,Caney Creek,28000,12/15,47,20,27,1461,1120,1400,1037.037037
2020,South West,Caston Creek,27785,10/13,31,24,7,1684,591.1702128,1157.708333,3969.285714
2020,South West,Copiah County,6811,12/15,24,16,8,1448,219.7096774,425.6875,851.375
2020,South West,Marion County,7125,12/15,32,19,13,1373,296.875,375,548.0769231
2020,South West,Natchez State Park,2457,12/15,41,22,19,414,76.78125,111.6818182,129.3157895
2020,South West,Pearl River,6925,10/13,10,5,5,651,168.902439,1385,1385
2020,South West,Sandy Creek,16407,10/13,11,10,1,1374,1640.7,1640.7,16407
2020,South West,Tallahala,28120,12/15,30,15,15,1023,2556.363636,1874.666667,1874.666667
